nom,code_dept
Bourg-en-Bresse,01
Oyonnax,01
Ambérieu-en-Bugey,01
Grenoble,38
Vienne,38
Bourgoin-Jallieu,38
Lyon,69
Bron,69
Villeurbanne,69
Vénissieux,69
Paris 1er,75
Paris 9e,75
Paris 15e,75
